《机械设计基础》这本书的作者是谁？	杨可桢，程光蕴，李仲生	其他
夏迎春饰演的角色名字叫什么？	王思平	人物
卢卡斯·埃尔南德斯在球场负责哪个位置？	后卫	人物
李忠效是男还是女？	男	性别
石门镇的大小有多大？	99.5平方公里	单位
你知道天涯的国际刊号是多少？	issn： 1006-9496	单位
《娘心计》是谁演唱的？	刘忻	人物
先天性髋位脱臼需要去哪个科室？ 	外科	疾病
诺基亚 e63是在什么时候上市的？	:2008年11月	日期
《翅膀》是由谁演唱的？	胡夏	演员
丙烯酸丁酯的cas登录号是多少？	141-32-2[2]	日期
大坝村的年降水量是多少？	846.5毫米	单位
地缚神科卡莱亚属于第几星级？	10	数字
长虹pt60600的屏幕比例是多大？	16:9	日期
光叶紫珠属于什么组？	紫珠组	植物
《step by step》是由谁作词的？	立花瞳	人物
巴尔干战役发生在什么地方？	巴尔干半岛	地点
射雕英雄传的制作公司是哪个？	电视广播有限公司	公司
麻烦你告诉下我石桥镇的邮编区码？	742200	数字
你测量过中山路有多长吗？	5.5千米，	单位
《疯狂的水母》的主角是谁？	水母	动物
多米尼克·莫纳汉是什么星座的？	天蝎	天文学
你还记得《哈利·波特与密室》的书号吗？	isbn 7-02-003344-x	单位
《花木兰》是由哪个制片商制造的？	华特迪士尼动画工作室	动画工作室
贵阳喜百年酒店最近的火车站名字和距离是多少？	贵阳火车站;7公里	地点
华硕wl-167g的传输速率是多少？	54,11,5.5,2,1mbps	单位
《帝尊》一共完成多少字数？	6127139	数字
《twist and shout》是首什么样风格的歌？	merseybeat	英文名
au(t+d)的开盘时间是何时？	冬时令：20:00-凌晨02:30	日期
你知道万达广场位于什么地方吗？	江门市	地点
笑傲江湖是哪个地区发行的？	中国大陆	地点
常山公主是谁的亲属？	唐太宗李世民	人物
锦江花园处在什么位置？	长安 街口及乌沙	地点
步月桥有多宽？	6．05米	单位
开封县第一人民医院是什么类型的医院？	国营	字词
cect紫光920的网络频率是多少？	gsm/gprs；900/1800mhz	单位
《神雕侠侣》是什么时候播出的？	2014年 每周三至周四晚22：00	日期
乌卡什·法比安斯基青年队有哪些人？	斯武比采 msp szamotuły lubuszanin drezdenko 布罗德尼察斯巴达 格涅兹诺	地点
龙华镇现在有多少人？	3.89万	单位
穗花组属于什么亚属？	穗花组	植物
《安吉丝的梦境》属于单机分类的哪一种？	单机游戏	游戏
肌筋膜炎属于哪个科室诊治？	内科 -	医学术语
嘉祥县妇幼保健院属于什么性质的医院？	国营	字词
刘心武中篇小说出版过几次？	1	数字
《剑桥中国史》在什么地方出版？	中国北京	历史
《勇者斗恶龙7》是在什么时候发售的？	2000年（ps）2013年（3ds）[1]	日期
《勇者传说online》属于其他哪种类别？	2d q版	方式
《像间谍一样思考》定价多少？	29	数字
詹姆斯敦2010年的人口数量是多少？	72	数字
gfriend是在什么时候出道的？	2015-01-16	日期
拿破仑定理是在什么时候提出来的？	1795	数字
mc的缩写是什么？	mc	英文名
《firebug》的原作者是谁？	joe hewitt	英文名
skf na4834轴承属于哪个品牌？	skf	英文名
上海站归哪个管辖？	上海铁路局	词语
商品存货适用于哪些地方？	企业	词语
《高炉炼铁工程管理与施工技术》这本书有多少页？	357 ; 24cm	单位
将臣属于什么种族？	僵尸	人物
华南大桥的坐标是多少？	23.107778°n 113.351389°e	单位
《侠盗猎车手5》属于哪个系列？	侠盗猎车手	游戏
扪心自问的近义词是什么？	反躬自问 ，抚躬自问 ，反躬自省	字词
宣政殿是哪个朝代的？	唐代	朝代
《高铁管家》在哪些平台上线了？	ios、android	单位
gt赛车是谁开发的？	polyphony digital	英文名
《魔法科高中的劣等生》从什么时候开始连载的？	2008年10月12日至今	日期
金谷站是在什么时候开始启用的？	1999年6月30日	日期
凯文·马丁属于哪个运动队？	休斯敦火箭队	体育组织
2020年东京奥运会举办时间是多久？	2020年7月24日-8月9日	日期
钩针编织产品的尺寸是多大？	25.4x20.4x1cm	单位
《雷顿教授与超文明a的遗产》属于什么模式的游戏？	单人游戏	游戏
南十字座μ的视差是多少？	8.64 ± 0.58[1]mas	单位
边缘属于什么版本的游戏？	街机游戏	游戏
通州区的行政代码是什么？	110112	数字
高斯贝尔c802的尺寸是多大？	85×43×23mm	单位
清华同方超扬 f360-b001的cpu频率是多大？	：1600mhz	单位
自制豆腐炖鱼的难度怎么样？	一般	字词
《如何让你爱的人爱上你》有多少字数？	170000	数字
《谁的顶戴花翎》是哪种类型的作品？	长篇小说	文学作品
阿尔发塔的高度是多高？	300米	单位
硫的密度是多少？	1.96g/cm³	单位
海卫二什么时候发现的？	1949	数字
花儿乐队的音乐风格怎么样？	pop+punk	单位
电气安全知识属于什么分类？	科技 > 一般工业技术	文学作品
蓝色喷流是被谁发现的？	sentman  wescott	单位
王莉莉什么血型啊？	a	英文名
州都是什么意思？	古代官名	官名
浙江省机关幼儿园什么时候创建的？	1954年	日期
《我们约会吧+》是哪个地区发行的？	中国	历史
吉安弗兰科·佐拉在国家队的编号是多少？	035 (10)	歌曲
水垢又俗称什么？	水碱	化工产品
浙江省桐乡市崇福东方皮草有限公司的法人代表是谁？	徐志明	人物
碧阳学园学生会议事录还有其他篇章吗？	番外篇	文学作品
野蛮角斗士的斩首斧需要多少等级？	70	数字
c7突击步枪的口径是多大？	5.56mm	单位
笛安是什么学位的？	社会学硕士	人物
我很好奇《凉宫春日系列》连载在什么杂志？	the sneaker（隔月连载）	语言术语
《埋伏》这个片子有多长？	90分钟	单位
你知道中国人民解放军成都军区总医院是否可以用医保吗？	是	字词
邪恶森林大冒险属于什么类型的游戏？	挑战	词语
你听过太史慈的称号吗？	无双乱舞	游戏
《娇妻狠角色：总裁，要学乖》是哪种类型的小说？	豪门世家	电视剧
宁乡金色夏威夷属于哪种类别的建筑？	高层	词语
遗的五笔是什么？	khgp	英文名
大魔王现在的状态是怎么样？	a级签约	网站
ak-74突击步枪最初产自哪个国家？	苏联	外国行政区划
《fantasy》是什么语言版本的？	粤语	字词
《beautiful girl》是谁唱的？	郭富城	演员
你知道胜利号是什么时候创建的？	789年	日期
碎石之锤物品的等级是多少？	42	数字
易拓木星j360能装多大的啊？	60g	单位
乳腺增生外敷散(图)这种药品纳入医保了吗？	纳入	字词
《寻根集》是什么时候印刷的？	1998-8-1	日期
猎豹安全浏览器是什么类型的软件？	浏览器	软件
天主教金斯顿总教区基本资讯来自哪里？	加拿大	地点
得抚岛的坐标在哪？	45°56′n 150°02′e	单位
金牛能源在什么市场上市的？	深圳证券交易所	公司
青岛双星雄鹰俱乐部的英文队名是什么？	qingdao doublestar eagle basketball club	英文名
moba是什么的缩写？	moba、arts（actionrts）	单位
《修真门派掌门人》一共点击了多少次？	1235009	数字
i.tech myvoice 307用的什么类型的电池？	锂电池	电子产品
麻烦你解释下水险的意思？	1. 水上险要之处	歌曲
火焰坦克的速度怎么样？	中等	字词
出版物市场管理规定是什么时候通过的？	2011年3月17日	日期
谁是红牛第二车队的主席？	franz tost	英文名
四合台站是在什么时候修建的？	1980年	日期
梦莲湖面积有多大？	0.5平方公里	单位
哈拉湖海拔有多高？	4078米	单位
nsk 7206c轴承来自于哪个系列？	角接触球轴承	词语
付味小章鱼用到了什么工艺制作？	腌制	食品
肯德基是谁创办的？	桑德斯上校	人物
《青岛市胶州湾保护条例》什么时候开始施行的？	2014年9月1日起	日期
海绵宝宝历险记2 的大小有多大？	28m	单位
刘晓华现在的职称是什么？	教授	人物
长湖位于什么地方？	中国西藏	出版物
《欲魔》有什么色彩？	彩色	词语
《倔强》的MV是谁导的？	赖伟康	导演
英雄无敌online需要多少内存？	128mb	单位
木村拓哉获得过哪些奖？	日剧学院赏 第9回日剧学院赏最佳男主角 《悠长假期》 第15回日剧学院赏最佳男主角 《恋爱世代》 第19回日剧学院赏最佳男主角 《沉睡的森林》 第24回日剧学院赏最佳男主角 《美丽人生》 第28回日剧学院赏最佳男主角 《hero》 第33回日剧学院赏最佳男主角 《从天而降亿万颗星星》 第52回日剧学院赏最佳男主角 《华丽一族》 第57回日剧学院赏最佳男主角 《change》 第75回日剧学院赏最佳男主角 《priceless～有才怪，这样的东西～》	组织机构
上高五中的主页是什么？	http://sgwz.sgxedu.cn	单位
你听过罗比尼奥的绰号是什么？	单车小子 单车少年	电影
螺旋丸由谁开发的？	波风水门	动漫形象
王萍在临床的职位是什么？	主任医师	人物
郑州战斗中谁智慧和领导的？	唐生智	人物
雷柏1075p无线光学鼠标是怎样工作的？	光电	自然学科
机器忍者战士是哪个游戏的？	机器忍者战士	游戏
《保护猫咪》贴的什么标签？	动作	词语
氨基酸螯合钙奶片里面包含什么成分？	氨基酸螯合钙 全脂奶粉	食品
slaughterhouse里有哪些成员？	crooked i	英文名
drt-1115石油产品铜片腐蚀测定仪有多重？	约 35kg。	字词
阳明滩大桥有多宽？	41.5米	单位
通下水属于哪个词目？	下水	字词
吉田仁美原来的名字是什么？	吉田 仁美（よしだ ひとみ）	公司
《来自风平浪静的明天》是谁制作的？	p.a.works	单位
奥本的政府名字叫什么？	council-manager	单位
溪口镇的方言叫什么？	徽语	字词
壅的郑码是多少？	sznb	英文名
《巴尔扎克和小裁缝》获得过哪些奖项？	代表法国片入选了2002年的金球奖。	日期
恹字有多少笔？	9	数字
nsk f635/f635zz1/vv/dd轴承是什么牌子的？	nsk轴承	轴承
因戈尔施塔特足球俱乐部的教练是谁？	哈森许特尔	人物
加速之光卡片上的密码是多少？	34838437	数字
第2次田中角荣内阁用罗马字怎么拼写？	dainiji tanaka kakuei dainiji kaizō naikaku	单位
东风标致508是哪家厂商生产的？	神龙汽车有限公司	公司
朱家碥站的邮政编码是多少？	725006	数字
李毅什么时候去世的？	1981年2月15日	日期
《旋风管家》什么时候播放的？	2007年4月1日－2008年3月30日	日期
里克·巴里的职业生涯是什么时间？	1965年-1979年	日期
野蛮角斗士的斩首斧属于什么品质？	史诗	文学作品
罗马斗兽场什么时候建造的？	公元72-82年	日期
2012款mg5 1.5l自动领航版的生产厂家是哪家？	mg	英文名
格兰特县的统计资料是什么时候的？	february 4, 1869	历史事件
《莲灯》是什么时候创作的？	2013年	日期
三星p408-da09的主板用的什么芯片组？	intel gm45 + ich9m	单位
电力供应与使用条例从什么时候开始实施的？	1996年4月17日	日期
《罗马假日》打算花多少钱？	$150万	单位
科比·布莱恩特参加了哪届nba选秀？	1996年第1轮第13位被黄蜂队选中	日期
热血长城在哪个平台连载？	起点中文网	小说
黄强的信仰是什么？	共产主义	思想体系
戴尔inspiron one 灵越 2020（i2020d-278）的cpu是哪个型号？	intel 酷睿 i3 2120t	公司
洪允成的文观部式是什么？	hong yun-sung	单位
复颜清乳柔肤水的产品是多少规格？	175ml	单位
丽江古城竹苑酒店有多少间客房？	44 间（套）	字词
梵蒂冈之谜的资费提示是什么？	完全免费	游戏
联力pc-c39的机箱是什么结构？	matx	英文名
你会叫照美冥什么绰号？	照美メイ（てるみ メイ）、terumi mei	人物
你知道宾得q7套机(5-15mm)的有效像素是多少吗？	1240万	单位
《走近天津实用英语手册》属于哪种装帧？	平装	书籍
罗技z103是什么类型的音箱？	电脑音箱	电子产品
《进击的巨人》的册数是多少？	15册（2014年12月） 15册（2015年1月）	日期
胞嘧啶的别名是什么？	6-氨基-2-羰基嘧啶	化工产品
张亮是什么学历的？	哲学博士	人物
帕罗洛在场上负责哪个位置？	前卫	人物
